# [Setup]
# logfile: auto
# gpib_num: 18
# [Experiment]
# start_freq: 10
# stop_freq: 100000
# points: 400
# linear_type: false
##########
# Comment: Optimised PID settings for "almost" locking
##########
# Frequency (Hz), LogMagnitude (dB), Phase (deg)
1.0000e+01,-2.5891e+01,-8.9667e+01
1.0234e+01,-2.6113e+01,-8.8601e+01
1.0472e+01,-2.6308e+01,-8.8334e+01
1.0717e+01,-2.6478e+01,-8.8153e+01
1.0967e+01,-2.6664e+01,-8.8069e+01
1.1223e+01,-2.6877e+01,-8.8055e+01
1.1486e+01,-2.7061e+01,-8.8021e+01
1.1754e+01,-2.7266e+01,-8.7974e+01
1.2028e+01,-2.7459e+01,-8.7966e+01
1.2309e+01,-2.7658e+01,-8.7940e+01
1.2597e+01,-2.7857e+01,-8.7880e+01
1.2891e+01,-2.8056e+01,-8.7822e+01
1.3192e+01,-2.8245e+01,-8.7775e+01
1.3500e+01,-2.8457e+01,-8.7741e+01
1.3815e+01,-2.8658e+01,-8.7709e+01
1.4138e+01,-2.8865e+01,-8.7631e+01
1.4468e+01,-2.9058e+01,-8.7625e+01
1.4806e+01,-2.9259e+01,-8.7572e+01
1.5151e+01,-2.9455e+01,-8.7624e+01
1.5505e+01,-2.9657e+01,-8.7561e+01
1.5867e+01,-2.9867e+01,-8.7483e+01
1.6238e+01,-3.0047e+01,-8.7370e+01
1.6617e+01,-3.0251e+01,-8.7329e+01
1.7005e+01,-3.0456e+01,-8.7295e+01
1.7402e+01,-3.0653e+01,-8.7274e+01
1.7808e+01,-3.0859e+01,-8.7209e+01
1.8224e+01,-3.1057e+01,-8.7108e+01
1.8650e+01,-3.1260e+01,-8.7093e+01
1.9085e+01,-3.1499e+01,-8.7125e+01
1.9531e+01,-3.1673e+01,-8.6885e+01
1.9987e+01,-3.1861e+01,-8.6886e+01
2.0454e+01,-3.2060e+01,-8.6854e+01
2.0932e+01,-3.2271e+01,-8.6833e+01
2.1420e+01,-3.2457e+01,-8.6685e+01
2.1921e+01,-3.2659e+01,-8.6637e+01
2.2432e+01,-3.2861e+01,-8.6539e+01
2.2956e+01,-3.3058e+01,-8.6466e+01
2.3492e+01,-3.3260e+01,-8.6378e+01
2.4041e+01,-3.3464e+01,-8.6391e+01
2.4602e+01,-3.3669e+01,-8.6239e+01
2.5177e+01,-3.3865e+01,-8.6115e+01
2.5765e+01,-3.4055e+01,-8.6146e+01
2.6367e+01,-3.4255e+01,-8.6092e+01
2.6982e+01,-3.4466e+01,-8.5990e+01
2.7612e+01,-3.4682e+01,-8.5883e+01
2.8257e+01,-3.4866e+01,-8.5735e+01
2.8917e+01,-3.5068e+01,-8.5670e+01
2.9592e+01,-3.5262e+01,-8.5660e+01
3.0283e+01,-3.5461e+01,-8.5550e+01
3.0990e+01,-3.5666e+01,-8.5395e+01
3.1714e+01,-3.5858e+01,-8.5277e+01
3.2455e+01,-3.6138e+01,-8.5308e+01
3.3213e+01,-3.6333e+01,-8.5055e+01
3.3988e+01,-3.6477e+01,-8.4762e+01
3.4782e+01,-3.6649e+01,-8.4770e+01
3.5594e+01,-3.6837e+01,-8.4785e+01
3.6425e+01,-3.7049e+01,-8.4758e+01
3.7276e+01,-3.7259e+01,-8.4543e+01
3.8146e+01,-3.7476e+01,-8.4426e+01
3.9037e+01,-3.7687e+01,-8.4235e+01
3.9949e+01,-3.7868e+01,-8.4180e+01
4.0882e+01,-3.8076e+01,-8.4002e+01
4.1836e+01,-3.8273e+01,-8.3842e+01
4.2813e+01,-3.8463e+01,-8.3730e+01
4.3813e+01,-3.8691e+01,-8.3697e+01
4.4836e+01,-3.8897e+01,-8.3463e+01
4.5883e+01,-3.9070e+01,-8.3290e+01
4.6955e+01,-3.9268e+01,-8.3218e+01
4.8051e+01,-3.9483e+01,-8.2974e+01
4.9173e+01,-3.9691e+01,-8.2824e+01
5.0322e+01,-3.9880e+01,-8.2712e+01
5.1497e+01,-4.0086e+01,-8.2524e+01
5.2699e+01,-4.0259e+01,-8.2401e+01
5.3930e+01,-4.0487e+01,-8.2151e+01
5.5189e+01,-4.0692e+01,-8.2118e+01
5.6478e+01,-4.0891e+01,-8.1902e+01
5.7797e+01,-4.1044e+01,-8.1433e+01
5.9147e+01,-4.1372e+01,-8.1385e+01
6.0528e+01,-4.1556e+01,-8.1211e+01
6.1941e+01,-4.1690e+01,-8.0882e+01
6.3388e+01,-4.1887e+01,-8.1009e+01
6.4868e+01,-4.2086e+01,-8.0488e+01
6.6383e+01,-4.2280e+01,-8.0247e+01
6.7933e+01,-4.2484e+01,-8.0272e+01
6.9519e+01,-4.2681e+01,-8.0189e+01
7.1143e+01,-4.2919e+01,-7.9783e+01
7.2804e+01,-4.3124e+01,-7.9516e+01
7.4504e+01,-4.3299e+01,-7.9372e+01
7.6244e+01,-4.3513e+01,-7.9105e+01
7.8024e+01,-4.3719e+01,-7.8756e+01
7.9846e+01,-4.3924e+01,-7.8377e+01
8.1711e+01,-4.4136e+01,-7.8213e+01
8.3619e+01,-4.4322e+01,-7.7912e+01
8.5572e+01,-4.4548e+01,-7.7667e+01
8.7570e+01,-4.4749e+01,-7.7366e+01
8.9615e+01,-4.4936e+01,-7.7134e+01
9.1708e+01,-4.5149e+01,-7.6908e+01
9.3849e+01,-4.5346e+01,-7.6607e+01
9.6041e+01,-4.5552e+01,-7.6292e+01
9.8284e+01,-4.5755e+01,-7.5777e+01
1.0058e+02,-4.5947e+01,-7.5391e+01
1.0293e+02,-4.6167e+01,-7.5098e+01
1.0533e+02,-4.6367e+01,-7.4771e+01
1.0779e+02,-4.6576e+01,-7.4430e+01
1.1031e+02,-4.6793e+01,-7.3926e+01
1.1288e+02,-4.6977e+01,-7.3662e+01
1.1552e+02,-4.7224e+01,-7.3136e+01
1.1822e+02,-4.7430e+01,-7.2895e+01
1.2098e+02,-4.7571e+01,-7.2469e+01
1.2380e+02,-4.7788e+01,-7.1932e+01
1.2669e+02,-4.8043e+01,-7.1499e+01
1.2965e+02,-4.8244e+01,-7.0966e+01
1.3268e+02,-4.8434e+01,-7.0697e+01
1.3578e+02,-4.8631e+01,-7.0181e+01
1.3895e+02,-4.8864e+01,-6.9528e+01
1.4219e+02,-4.9060e+01,-6.9206e+01
1.4551e+02,-4.9246e+01,-6.8993e+01
1.4891e+02,-4.9467e+01,-6.8158e+01
1.5239e+02,-4.9711e+01,-6.7397e+01
1.5595e+02,-4.9903e+01,-6.6840e+01
1.5959e+02,-5.0145e+01,-6.6216e+01
1.6332e+02,-5.0286e+01,-6.5670e+01
1.6713e+02,-5.0522e+01,-6.5138e+01
1.7103e+02,-5.0759e+01,-6.4360e+01
1.7503e+02,-5.0927e+01,-6.3108e+01
1.7912e+02,-5.1196e+01,-6.2773e+01
1.8330e+02,-5.1343e+01,-6.1501e+01
1.8758e+02,-5.1553e+01,-6.1528e+01
